ion,num,type,charge
b26,26,b,1
b26^2,26,b,2
b26^3,26,b,3
b27^2,27,b,2
b27^3,27,b,3
b28^2,28,b,2
b28^3,28,b,3
b29^2,29,b,2
b29^3,29,b,3
b2^2,2,b,2
b3,3,b,1
b3^2,3,b,2
b3^3,3,b,3
b4,4,b,1
b4^2,4,b,2
b4^3,4,b,3
b5,5,b,1
b5^2,5,b,2
b5^3,5,b,3
b6,6,b,1
b6^2,6,b,2
b6^3,6,b,3
b7,7,b,1
b7^2,7,b,2
b7^3,7,b,3
b8,8,b,1
b8^2,8,b,2
b8^3,8,b,3
b9,9,b,1
b9^2,9,b,2
b9^3,9,b,3
c1,1,c,1
c10,10,c,1
c10^2,10,c,2
c10^3,10,c,3
c11,11,c,1
c11^2,11,c,2
c11^3,11,c,3
c12,12,c,1
c12^2,12,c,2
c12^3,12,c,3
c13,13,c,1
c13^2,13,c,2
c13^3,13,c,3
c14,14,c,1
c14^2,14,c,2
c14^3,14,c,3
c15,15,c,1
c15^2,15,c,2
c15^3,15,c,3
c16,16,c,1
c16^2,16,c,2
c16^3,16,c,3
c17,17,c,1
c17^2,17,c,2
c17^3,17,c,3
c18,18,c,1
c18^2,18,c,2
c18^3,18,c,3
c19,19,c,1
c19^2,19,c,2
c19^3,19,c,3
c1^2,1,c,2
c2,2,c,1
c20,20,c,1
c20^2,20,c,2
c20^3,20,c,3
c21,21,c,1
c21^2,21,c,2
c21^3,21,c,3
c22,22,c,1
c22^2,22,c,2
c22^3,22,c,3
c23,23,c,1
c23^2,23,c,2
c23^3,23,c,3
c24,24,c,1
c24^2,24,c,2
c24^3,24,c,3
c25,25,c,1
c25^2,25,c,2
c25^3,25,c,3
c26,26,c,1
c26^2,26,c,2
c26^3,26,c,3
c27,27,c,1
c27^2,27,c,2
c27^3,27,c,3
c28^2,28,c,2
c28^3,28,c,3
c29^2,29,c,2
c29^3,29,c,3
c2^2,2,c,2
c3,3,c,1
c3^2,3,c,2
c3^3,3,c,3
c4,4,c,1
c4^2,4,c,2
c4^3,4,c,3
c5,5,c,1
c5^2,5,c,2
c5^3,5,c,3
c6,6,c,1
c6^2,6,c,2
c6^3,6,c,3
c7,7,c,1
c7^2,7,c,2
c7^3,7,c,3
c8,8,c,1
c8^2,8,c,2
c8^3,8,c,3
c9,9,c,1
c9^2,9,c,2
c9^3,9,c,3
x1,1,x,1
x10,10,x,1
x10^2,10,x,2
x10^3,10,x,3
x11,11,x,1
x11^2,11,x,2
x11^3,11,x,3
x12,12,x,1
x12^2,12,x,2
x12^3,12,x,3
x13,13,x,1
x13^2,13,x,2
x13^3,13,x,3
x14,14,x,1
x14^2,14,x,2
x14^3,14,x,3
x15,15,x,1
x15^2,15,x,2
x15^3,15,x,3
x16,16,x,1
x16^2,16,x,2
x16^3,16,x,3
x17,17,x,1
x17^2,17,x,2
x17^3,17,x,3
x18,18,x,1
x18^2,18,x,2
x18^3,18,x,3
x19,19,x,1
x19^2,19,x,2
x19^3,19,x,3
x1^2,1,x,2
x2,2,x,1
x20,20,x,1
x20^2,20,x,2
x20^3,20,x,3
x21,21,x,1
x21^2,21,x,2
x21^3,21,x,3
x22,22,x,1
x22^2,22,x,2
x22^3,22,x,3
x23,23,x,1
x23^2,23,x,2
x23^3,23,x,3
x24^2,24,x,2
x24^3,24,x,3
x25^2,25,x,2
x25^3,25,x,3
x26^2,26,x,2
x26^3,26,x,3
x27^2,27,x,2
x27^3,27,x,3
x28^2,28,x,2
x28^3,28,x,3
x29^2,29,x,2
x29^3,29,x,3
x2^2,2,x,2
x3,3,x,1
x3^2,3,x,2
x3^3,3,x,3
x4,4,x,1
x4^2,4,x,2
x4^3,4,x,3
x5,5,x,1
x5^2,5,x,2
x5^3,5,x,3
x6,6,x,1
x6^2,6,x,2
x6^3,6,x,3
x7,7,x,1
x7^2,7,x,2
x7^3,7,x,3
x8,8,x,1
x8^2,8,x,2
x8^3,8,x,3
x9,9,x,1
x9^2,9,x,2
x9^3,9,x,3
y1,1,y,1
y10,10,y,1
y10^2,10,y,2
y10^3,10,y,3
y11,11,y,1
y11^2,11,y,2
y11^3,11,y,3
y12,12,y,1
y12^2,12,y,2
y12^3,12,y,3
y13,13,y,1
y13^2,13,y,2
y13^3,13,y,3
y14,14,y,1
y14^2,14,y,2
y14^3,14,y,3
y15,15,y,1
y15^2,15,y,2
y15^3,15,y,3
y16,16,y,1
y16^2,16,y,2
y16^3,16,y,3
y17,17,y,1
y17^2,17,y,2
y17^3,17,y,3
